x,y
0.438690358,6.316071075
4.463680808,18.39104243
3.172820607,9.518461821
2.778944567,15.3368337
9.767278847,36.30183654
1.276454463,10.82936339
9.624961815,27.87488544
3.914853564,16.74456069
9.896648777,29.68994633
6.270870483,23.81261145
1.539715586,8.619146758
9.962745392,32.88823617
5.29330317,14.87990951
7.536110925,24.60833278
4.740268653,22.22080596
8.160181443,28.48054433
1.180323647,10.54097094
2.178080562,5.534241686
2.717811046,9.153433139
1.014763999,8.044291998
0.200547131,4.601641392
1.138652801,10.4159584
2.475739684,14.42721905
3.939676911,19.81903073
5.356238303,21.06871491
